name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings
gemini_d2_01,CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(C(=O)N(CCCCCCCC)CCCCCCCC)n1,C39H71N3O2,614.0,11.41,53.5,0,1,30,2.46,0.722,0.0,False,0.0,True,True,0,1
gemini_d2_02,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1cccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)n1,C39H71N3O2,614.0,10.83,53.5,0,1,26,4.04,0.579,0.0,False,0.585,True,True,0,1
gemini_d2_03,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCC)CCCCCC)nc3c2n1,C38H58N4O2,602.9,9.99,66.4,0,2,22,2.65,1.0,0.0,False,0.722,False,True,0,2
gemini_d2_04,CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(-c2cccc(C(=O)N(CCCCCCCC)CCCCCCCC)n2)n1,C44H74N4O2,691.1,12.47,66.4,0,2,31,2.67,0.667,0.0,False,0.853,True,True,0,2
gemini_d2_05,CCCCCCCCN(C)C(=O)c1cccc(C(=O)N(C)CCCCCCCC)n1,C25H43N3O2,417.6,5.95,53.5,0,1,16,2.35,0.537,0.0,False,0.743,True,True,0,1
gemini_d2_06,CCCCCCCCN(CCCCCCCC)C(=O)c1cnc(C(=O)N(CCCCCCCC)CCCCCCCC)cn1,C38H70N4O2,615.0,10.8,66.4,0,2,30,2.47,0.622,0.0,False,0.657,True,True,0,0
gemini_d2_07,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1cnc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)cn1,C38H70N4O2,615.0,10.23,66.4,0,2,26,4.06,0.568,0.0,False,0.7,True,True,0,0
gemini_d2_08,CCCCCCCCN(CCCCCCCC)C(=O)COc1cccc(OCC(=O)N(CCCCCCCC)CCCCCCCC)n1,C41H75N3O4,674.1,10.94,72.0,0,1,34,2.73,0.553,0.0,False,0.548,True,True,0,1
gemini_d2_09,CCCCCCCCN(CCCCCCCC)C(=O)Cc1cccc(CC(=O)N(CCCCCCCC)CCCCCCCC)n1,C41H75N3O2,642.1,11.27,53.5,0,1,32,2.6,0.524,0.0,False,0.595,True,True,0,1
gemini_d2_10,CCCCCCCCN(CCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCC)CCCCCCCC)nc3c2n1,C42H66N4O2,659.0,11.55,66.4,0,2,26,2.69,1.0,0.0,False,1.0,False,True,0,2
